1,1. What are two benefits of network automation? (Choose two),A. reduced operational costs,B. reduced hardware footprint,C. faster changes with more reliable results,D. fewer network failures,E. increased network security,,,,AC,Section: Automation and Programmability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2. Which command enables a router to become a DHCP client?,A. ip address dhcp,B. ip helper-address,C. ip dhcp pool,D. ip dhcp client,,,,,A,Section: IP Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3. Which design element is a best practice when deploying an 802.11b wireless infrastructure?,A. disabling TPC so that access points can negotiate signal levels with their attached wireless devices,B. setting the maximum data rate to 54 Mbps on the Cisco Wireless LAN Controller,C. allocating nonoverlapping channels to access points that are in close physical proximity to one another,D. configuring access points to provide clients with a maximum of 5 Mbps,,,,,C,Section: Network Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4. When configuring IPv6 on an interface, which two IPv6 multicast groups are joined? (Choose two)",A. 2000::/3,B. 2002::5,C. FC00::/7,D. FF02::1,E. FF02::2,,,,DE,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5. Which option about JSON is true?,A. uses predefined tags or angle brackets (<>) to delimit markup text,B. used to describe structured data that includes arrays,C. used for storing information,"D. similar to HTML, it is more verbose than XML",,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6. Which IPv6 address type provides communication between subnets and cannot route on the Internet?,A. global unicast,B. unique local,C. link-local,D. multicast,,,,,B,Section: Network Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7. Which command prevents passwords from being stored in the configuration as plaintext on a router or switch?,A. enable secret,B. service password-encryption,C. username Cisco password encrypt,D. enable password,,,,,B,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8. What are two southbound APIs? (Choose two ),A. OpenFlow,B. NETCONF,C. Thrift,D. CORBA,E. DSC,,,,AB,Section: Automation and Programmability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9. Which set of action satisfy the requirement for multifactor authentication?,"A. The user swipes a key fob, then clicks through an email link.","B. The user enters a user name and password, and then clicks a notification in an authentication app on a mobile device.","C. The user enters a PIN into an RSA token, and then enters the displayed RSA key on a login screen.",D. The user enters a user name and password and then re-enters the credentials on a second screen.,,,,,B,Section: Security Fundamentals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10. Which two capacities of Cisco DNA Center make it more extensible? (Choose two),A. adapters that support all families of Cisco IOS software,B. SDKs that support interaction with third-party network equipment,"C. customized versions for small, medium, and large enterprises",D. REST APIs that allow for external applications to interact natively with Cisco DNA Center,E. modular design that is upgradable as needed,,,,BD,Section: Automation and Programmability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
